,GPU,MRP
209,Verilux NVIDIA Addressable RGB Graphics Card GPU Brace Support Video Card Sag Holder 1 GB DDR3 Graphics Card,"₹1,499"
210,MSI AMD Radeon Radeon RX 6600 MECH 2X 8G 8 GB GDDR6 Graphics Card,"₹34,999"
211,MSI NVIDIA GeForce RTX 2060 VENTUS GP OC 6 GB GDDR6 Graphics Card,"₹32,479"
212,ASRock AMD Radeon RX6500XT PGD 4 GB GDDR6 Graphics Card,"₹20,999"
213,"amd AMD Radeon Sapphire Pulse Radeon™ RX 6800 Graphic Card with 16 GB GDDR6, RDNA™ 16 GB GDDR6 Graphics Card","₹99,999"
214,PowerColor AMD Radeon Fighter 6700XT 12 GB GDDR6 Graphics Card,"₹62,890"
215,"Xsentuals NVIDIA PCIe Riser Adapter Card VER009S / 009S Black & Gold 16x to 1x 60cm USB 3.0 Extension Cable - GPU Riser Adapter - Mining Bitcoin, Ethereum ETH Zcash ZEC Monero XMR 16 GB GDDR4 Graphics Card",₹499
216,GIGABYTE AMD Radeon GV-R69XTGAMING OC-16GD 16 GB GDDR6 Graphics Card,"₹1,39,999"
217,MSI NVIDIA RTX 3070 GAMING 8 GB GDDR6 Graphics Card,"₹59,499"
218,GIGABYTE NVIDIA 1650-1 Fan 4 GB GDDR6 Graphics Card,"₹13,200"
219,MSI NVIDIA GeForce RTX 3080 SUPRIM X 12G LHR 12 GB GDDR6X Graphics Card,"₹1,84,999"
220,Inno3D NVIDIA GEFORCE RTX 3050 Twin X2 OC 8 GB GDDR6 Graphics Card,"₹31,413"
221,amd AMD Radeon RX 6600 8 GB GDDR6 Graphics Card,"₹36,339"
222,Inno3D NVIDIA GEFORCE RTX 3060 TI ITWIN X2 LHR 8 GB GDDR6 Graphics Card,"₹41,499"
223,Colorful NVIDIA RTX-3080 Ti 12 GB GDDR6X Graphics Card,"₹99,999"
224,Inno3D NVIDIA GEFORCE RTX 3060 Twin X2 OC 12 GB GDDR6 Graphics Card,"₹47,999"
225,GEONIX NVIDIA GX GT610 2GB D3 2 GB DDR3 Graphics Card,"₹2,157"
226,Inno3D NVIDIA RTX 3090 TI 24GB X3 OC 24 GB GDDR6X Graphics Card,"₹2,06,999"
227,LipiWorld NVIDIA VER-14Pro V014 Pro PCI-E 1X to 16X Pcie Riser for Bitcoin ETH Coin Mining 16 GB GDDR4 Graphics Card,₹649
228,Dtech NVIDIA NVIDIA GT210 1 GB DDR3 Graphics Card,"₹1,424"
229,ASRock AMD Radeon RX6800XT PGD 16 GB GDDR6 Graphics Card,"₹94,999"
230,ASUS AMD Radeon Dual RX 6500XT OC 4 GB GDDR6 Graphics Card,"₹17,999"
231,MSI NVIDIA GeForce RTX 3080 Ti VENTUS 3X 12G OC 12 GB GDDR6X Graphics Card,"₹1,54,999"
232,MSI NVIDIA GeForce RTX 3050 GAMING X 8G 8 GB GDDR6 Graphics Card,"₹32,999"
233,ASUS NVIDIA ROG-STRIX-RTX3080-O10G-V2 10 GB GDDR6X Graphics Card,"₹79,999"
234,MSI NVIDIA RTX 3090 Ti GAMING X TRIO 24G 24 GB GDDR6X Graphics Card,"₹2,07,999"
235,Inno3D NVIDIA GEFORCE GTX 1630 TWIN X2 OC 4 GB GDDR6 Graphics Card,"₹14,999"
236,MSI NVIDIA GeForce RTX 3080 Ti GAMING X TRIO 12G 12 GB GDDR6X Graphics Card,"₹1,49,999"
237,ZOTAC NVIDIA RTX 3090 Trinity OC 24 GB GDDR6X Graphics Card,"₹1,68,999"
238,HASTHIP Intel PCI-E PCI Express 3.0 X4 to NVME M.2 NVME to NVME SSD PCI-e 3.0 x 4 Host Control 1 GB DDR3 Graphics Card,₹699
239,Verilux Intel M.2 NVME SSD Convert Adapter Card for MacBook Air Pro Retina (Year 2013-2017) 1 GB DDR3 Graphics Card,₹754
240,ITSNAVAKER NVIDIA CONSISTENT GRAPHICS CARD G210 1 GB DDR3 Graphics Card,"₹2,395"
241,GMP NVIDIA INKJET PVC ID CARD FOR EPSON PRINTER 800 MICRON 230 PCS 1 GB DDR2 Graphics Card,"₹1,000"
242,ASUS NVIDIA GeForce GT 730 2 GB GDDR5 Graphics Card,"₹4,399"
