,motherBoard,MRP
223,ASUS TUF GAMING B650M-PLUS Motherboard,"₹21,585"
224,GIGABYTE B550-Aorus Elite AX V2 Motherboard,"₹16,800"
225,ASUS Rog Strix Z690-A Gaming Wifi D4 Motherboard,"₹37,199"
226,MSI MAG B550 TOMAHAWK Motherboard,"₹18,000"
227,ASRock B650 PG Lightning Motherboard,"₹20,799"
228,ASRock B550 Pro4 Motherboard,"₹16,149"
229,ZEBRONICS ZEB-G41 - D2 Motherboard,"₹2,390"
230,ASRock Z690M-ITX/ax Motherboard,"₹21,499"
231,Frontech H61/1155 DDR3 Motherboard,"₹2,059"
232,ASRock Z590 OC Formula Motherboard,"₹55,809"
233,ZEBRONICS G41-D3-COMBO-KIT Motherboard,"₹3,475"
234,ASUS PROART B660-CREATOR D4 Motherboard,"₹25,609"
235,ASRock Z590 Phantom Gaming4/AC Motherboard,"₹15,569"
236,ASRock B650 Pro RS Motherboard,"₹21,949"
237,MSI Z590 PRO WIFI Motherboard,"₹21,699"
238,GEONIX GX-H81 D3 Motherboard,"₹2,690"
239,ZEBRONICS G41 Motherboard,"₹1,999"
240,ASRock B450M-HDV Motherboard,"₹5,678"
241,ZEBRONICS ZEB-H81M2 with PCIE M.2 / NVMe Slot Motherboard,"₹2,449"
242,ZEBRONICS H61-i5-4GB-PFAN-COMBO Motherboard,"₹3,799"
243,ZEBRONICS Zeb H61M2 Motherboard with M2 slot LGA 1155 Socket Motherboard,"₹2,299"
244,ASUS PRIME H610M-E D4 Motherboard,"₹8,950"
245,MSI B550M PRO-VDH WIFI Motherboard,"₹12,999"
246,ZEBRONICS Zeb-H61M2 Motherboard,"₹2,299"
247,Ant Value G41MAD3 Motherboard,"₹2,161"
248,ASUS PRIME B550M-A WIFI II Motherboard,"₹13,999"
249,ASUS PRIME A320M-K Motherboard,"₹5,999"
250,ZEBRONICS ZEB-H61 Motherboard,"₹2,299"
251,ASUS Prime-B450M-A-II Motherboard,"₹8,999"
252,ZEBRONICS H61 Motherboard,"₹2,104"
253,ASRock B550M Pro4 Motherboard,"₹9,389"
254,GIGABYTE A520M K Motherboard,"₹5,899"
255,ASUS ROG STRIX Z590-E Gaming Wi-Fi Motherboard,"₹33,517"
256,ASUS ?PRIME H410M-E Motherboard,"₹6,999"
